_id	type	street	neighborhood	council_district
1	Crosswalk - Other	ELEVENTH ST	Central Business District	6
2	Crosswalk - Two Lined	PENN AVE	Strip District	7
3	Crosswalk - Two Lined	MORNINGSIDE AVE	Morningside	7
4	Crosswalk - Two Lined	TECH ST	Squirrel Hill North	8
5	Crosswalk - Two Lined	FREW ST	Squirrel Hill South	5
6	Crosswalk - Two Lined	FORBES AVE	Squirrel Hill North	8
7	Crosswalk - Two Lined	BEELER ST	Squirrel Hill North	8
8	Crosswalk - Two Lined	BEELER ST	Squirrel Hill North	8
9	Crosswalk - Continental	FORBES AVE	Squirrel Hill North	8
10	Crosswalk - Continental	FIFTH AVE	Shadyside	8
11	Crosswalk - Continental	FIFTH AVE	Shadyside	8
12	Crosswalk - Continental	FIFTH AVE	Shadyside	8
13	Crosswalk - Continental	FIFTH AVE	Squirrel Hill North	8
14	Crosswalk - Two Lined	BIGELOW BLVD	Polish Hill	7
15	Crosswalk - Continental	FIFTH AVE	Shadyside	8
16	Crosswalk - Two Lined	ELLSWORTH AVE	Shadyside	8
17	Crosswalk - Two Lined	ELLSWORTH AVE	Shadyside	8
18	Crosswalk - Two Lined	BAYARD ST	Shadyside	8
19	Crosswalk - Two Lined	BAYARD ST	Shadyside	8
20	Crosswalk - Ladder	BAYARD ST	Shadyside	8
21	Crosswalk - Continental	BAYARD ST	Shadyside	8
22	Crosswalk - Continental	BAYARD ST	North Oakland	8
23	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
24	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
25	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
26	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
27	Crosswalk - Two Lined	BAYARD ST	North Oakland	8
28	Crosswalk - Continental	BAYARD ST	North Oakland	8
29	Crosswalk - Continental	BAYARD ST	North Oakland	8
30	Crosswalk - Continental	BAYARD ST	North Oakland	8
31	Crosswalk - Continental	BAYARD ST	North Oakland	8
32	Crosswalk - Continental	BAYARD ST	North Oakland	8
33	Crosswalk - Continental	O HARA ST	North Oakland	8
34	Crosswalk - Continental	O HARA ST	North Oakland	8
35	Crosswalk - Continental	O HARA ST	North Oakland	8
36	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
37	Crosswalk - Continental	O HARA ST	North Oakland	8
38	Crosswalk - Two Lined	O HARA ST	North Oakland	8
39	Crosswalk - Two Lined	DE SOTO ST	West Oakland	8
40	Crosswalk - Two Lined	DE SOTO ST	West Oakland	8
41	Crosswalk - Continental	DE SOTO ST	West Oakland	8
42	Crosswalk - Two Lined	DE SOTO ST	North Oakland	8
43	Crosswalk - Two Lined	SUTHERLAND DR	North Oakland	8
44	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
45	Crosswalk - Two Lined	TERRACE ST	West Oakland	6
46	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
47	Crosswalk - Ladder	HERRON AVE	Polish Hill	7
48	Crosswalk - Ladder	TERRACE ST	West Oakland	6
49	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
50	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
51	Crosswalk - Two Lined	DARRAGH ST	West Oakland	8
52	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
53	Crosswalk - Two Lined	TERRACE ST	West Oakland	8
54	Crosswalk - Two Lined	LOTHROP ST	West Oakland	8
55	Crosswalk - Two Lined	SUTHERLAND DR	West Oakland	8
56	Crosswalk - Continental	MEYRAN AVE	Central Oakland	3
57	Crosswalk - Continental	MEYRAN AVE	Central Oakland	3
58	Crosswalk - Two Lined	HARMAR ST	Polish Hill	7
59	Crosswalk - Continental	FORBES AVE	Central Oakland	3
60	Crosswalk - Continental	FORBES AVE	Central Oakland	3
61	Crosswalk - Continental	FORBES AVE	Central Oakland	3
62	Crosswalk - Continental	FORBES AVE	Central Oakland	3
63	Crosswalk - Continental	S BOUQUET ST	North Oakland	3
64	Crosswalk - Continental	S BOUQUET ST	Central Oakland	3
65	Crosswalk - Continental	S BOUQUET ST	Central Oakland	8
66	Crosswalk - Two Lined	N BOUQUET ST	West Oakland	8
67	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
68	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
69	Crosswalk - Two Lined	DOBSON ST	Polish Hill	7
70	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
71	Crosswalk - Two Lined	S BOUQUET ST	Central Oakland	3
72	Crosswalk - Continental	OAKLAND AVE	Central Oakland	3
73	Crosswalk - Continental	OAKLAND AVE	Central Oakland	3
74	Crosswalk - Continental	OAKLAND AVE	Central Oakland	8
75	Crosswalk - Two Lined	N EUCLID AVE	East Liberty	9
76	Crosswalk - Two Lined	ASHLEY ST	East Liberty	9
77	Crosswalk - Two Lined	BAUM BLVD	Shadyside	7
78	Crosswalk - Two Lined	BAUM BLVD	Bloomfield	7
79	Crosswalk - Continental	BIGELOW BLVD	North Oakland	8
80	Crosswalk - Ladder	DOBSON ST	Polish Hill	7
81	Crosswalk - Continental	TENNYSON AVE	North Oakland	8
82	Crosswalk - Continental	TENNYSON AVE	North Oakland	8
83	Crosswalk - Continental	TENNYSON AVE	North Oakland	8
84	Crosswalk - Continental	FIFTH AVE	North Oakland	8
85	Crosswalk - Continental	FIFTH AVE	North Oakland	8
86	Crosswalk - Continental	FIFTH AVE	North Oakland	8
87	Crosswalk - Continental	FIFTH AVE	North Oakland	8
88	Crosswalk - Continental	FIFTH AVE	North Oakland	3
89	Crosswalk - Continental	FIFTH AVE	North Oakland	3
90	Crosswalk - Continental	FIFTH AVE	North Oakland	3
91	Crosswalk - Two Lined	BRERETON ST	Polish Hill	7
92	Crosswalk - Continental	FIFTH AVE	North Oakland	3
93	Crosswalk - Continental	FIFTH AVE	West Oakland	8
94	Crosswalk - Continental	FIFTH AVE	West Oakland	8
95	Crosswalk - Continental	DE SOTO ST	West Oakland	8
96	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
97	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
98	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
99	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
100	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
101	Crosswalk - Two Lined	SENNOTT ST	Central Oakland	3
102	Crosswalk - Two Lined	BRERETON ST	Polish Hill	7
103	Crosswalk - Two Lined	OAKLAND AVE	Central Oakland	3
104	Crosswalk - Two Lined	OAKLAND AVE	Central Oakland	3
105	Crosswalk - Two Lined	PIER ST	Central Oakland	3
106	Crosswalk - Two Lined	OAKLAND AVE	Central Oakland	3
107	Crosswalk - Two Lined	BATES ST	Central Oakland	3
108	Crosswalk - Two Lined	JONCAIRE ST	Central Oakland	3
109	Crosswalk - Two Lined	JONCAIRE ST	Central Oakland	3
110	Crosswalk - Two Lined	BOUNDARY ST	Central Oakland	3
111	Crosswalk - Two Lined	ATWOOD ST	Central Oakland	3
112	Crosswalk - Two Lined	ATWOOD ST	Central Oakland	3
113	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	7
114	Crosswalk - Two Lined	30TH ST	Polish Hill	7
115	Crosswalk - Two Lined	ATWOOD ST	Central Oakland	3
116	Crosswalk - Two Lined	ATWOOD ST	Central Oakland	3
117	Crosswalk - Two Lined	ATWOOD ST	Central Oakland	3
118	Crosswalk - Two Lined	BATES ST	Central Oakland	3
119	Crosswalk - Two Lined	BATES ST	Central Oakland	3
120	Crosswalk - Two Lined	BATES ST	Central Oakland	3
121	Crosswalk - Two Lined	BATES ST	Central Oakland	3
122	Crosswalk - Two Lined	BATES ST	South Oakland	3
123	Crosswalk - Two Lined	BATES ST	South Oakland	3
124	Crosswalk - Two Lined	BATES ST	South Oakland	3
125	Crosswalk - Two Lined	BRERETON ST	Polish Hill	7
126	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	3
127	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	3
128	Crosswalk - Two Lined	BLVD OF THE ALLIES	Central Oakland	3
129	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	3
130	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	3
131	Crosswalk - Two Lined	BLVD OF THE ALLIES	Central Oakland	3
132	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	3
133	Crosswalk - Two Lined	BLVD OF THE ALLIES	South Oakland	6
134	Crosswalk - Two Lined	ZULEMA ST	Central Oakland	3
135	Crosswalk - Ladder	BATES ST	Central Oakland	3
136	Crosswalk - Two Lined	30TH ST	Polish Hill	7
137	Crosswalk - Ladder	BATES ST	Central Oakland	3
138	Crosswalk - Ladder	SEMPLE ST	Central Oakland	3
139	Crosswalk - Two Lined	SEMPLE ST	Central Oakland	3
140	Crosswalk - Two Lined	SEMPLE ST	Central Oakland	3
141	Crosswalk - Two Lined	SEMPLE ST	Central Oakland	3
142	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
143	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
144	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
145	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
146	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
147	Crosswalk - Two Lined	30TH ST	Polish Hill	7
148	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
149	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
150	Crosswalk - Two Lined	LOUISA ST	Central Oakland	3
151	Crosswalk - Two Lined	COLTART AVE	Central Oakland	3
152	Crosswalk - Two Lined	COLTART AVE	Central Oakland	3
153	Crosswalk - Two Lined	HALKET ST	South Oakland	3
154	Crosswalk - Two Lined	CRAFT AVE	South Oakland	6
155	Crosswalk - Two Lined	CRAFT AVE	South Oakland	3
156	Crosswalk - Two Lined	CRAFT AVE	South Oakland	6
157	Crosswalk - Two Lined	CRAFT PL	South Oakland	6
158	Crosswalk - Two Lined	STANTON AVE	Stanton Heights	9
159	Crosswalk - Two Lined	HAMLET ST	South Oakland	6
160	Crosswalk - Two Lined	HAMLET ST	South Oakland	6
161	Crosswalk - Two Lined	JULIET ST	South Oakland	3
162	Crosswalk - Two Lined	FRAZIER ST	South Oakland	3
163	Crosswalk - Two Lined	DAWSON ST	South Oakland	3
164	Crosswalk - Two Lined	PARKVIEW AVE	South Oakland	3
165	Crosswalk - Two Lined	FRAZIER ST	South Oakland	3
166	Crosswalk - Two Lined	SWINBURNE ST	South Oakland	3
167	Crosswalk - Two Lined	SWINBURNE ST	South Oakland	3
168	Crosswalk - Two Lined	DAWSON ST	South Oakland	3
169	Crosswalk - Two Lined	MORNINGSIDE AVE	Morningside	7
170	Crosswalk - Two Lined	DAWSON ST	South Oakland	3
171	Crosswalk - Two Lined	DAWSON ST	Central Oakland	3
172	Crosswalk - Ladder	DAWSON ST	Central Oakland	3
173	Crosswalk - Ladder	DAWSON ST	Central Oakland	3
174	Crosswalk - Two Lined	OAKLAND AVE	Central Oakland	3
175	Crosswalk - Two Lined	OAKLAND WAY	Central Oakland	3
176	Crosswalk - Two Lined	SEMPLE ST	Central Oakland	3
177	Crosswalk - Two Lined	SEMPLE ST	Central Oakland	3
178	Crosswalk - Ladder	SEMPLE ST	Central Oakland	3
179	Crosswalk - Two Lined	CABLE PL	Central Oakland	3
180	Crosswalk - Two Lined	JANCEY ST	Morningside	7
181	Crosswalk - Two Lined	WARD ST	Central Oakland	3
182	Crosswalk - Two Lined	WARD ST	South Oakland	3
183	Crosswalk - Two Lined	WARD ST	Central Oakland	3
184	Crosswalk - Two Lined	MCKEE PL	Central Oakland	3
185	Crosswalk - Two Lined	MCKEE PL	Central Oakland	3
186	Crosswalk - Two Lined	TERRACE ST	West Oakland	6
187	Crosswalk - Two Lined	TERRACE ST	West Oakland	6
188	Crosswalk - Two Lined	TERRACE ST	Terrace Village	6
189	Crosswalk - Two Lined	TERRACE ST	Terrace Village	6
190	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
191	Crosswalk - Two Lined	N NEGLEY AVE	Highland Park	7
192	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
193	Crosswalk - Two Lined	ALLEQUIPPA ST	West Oakland	6
194	Crosswalk - Two Lined	ALLEQUIPPA ST	West Oakland	6
195	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
196	Crosswalk - Two Lined	ALLEQUIPPA ST	West Oakland	8
197	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
198	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
199	Crosswalk - Two Lined	ALLEQUIPPA ST	North Oakland	8
200	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
201	Crosswalk - Two Lined	ALLEQUIPPA ST	Terrace Village	6
202	Crosswalk - Two Lined	STANTON AVE	Highland Park	7
203	Crosswalk - Ladder	ALLEQUIPPA ST	North Oakland	8
204	Crosswalk - Two Lined	BRACKENRIDGE ST	Terrace Village	6
205	Crosswalk - Two Lined	ROBINSON ST	West Oakland	6
206	Crosswalk - Two Lined	ROBINSON ST	Terrace Village	6
207	Crosswalk - Two Lined	WADSWORTH ST	Terrace Village	6
208	Crosswalk - Two Lined	ROBINSON ST	West Oakland	6
209	Crosswalk - Two Lined	ROBINSON ST	West Oakland	6
210	Crosswalk - Two Lined	PARKVIEW AVE	South Oakland	3
211	Crosswalk - Two Lined	SECOND AVE	South Oakland	3
212	Crosswalk - Two Lined	SECOND AVE	South Oakland	3
213	Crosswalk - Two Lined	N NEGLEY AVE	East Liberty	9
214	Crosswalk - Two Lined	SECOND AVE	South Oakland	3
215	Crosswalk - Two Lined	TECHNOLOGY DR	South Oakland	3
216	Crosswalk - Ladder	LOCUST ST	Bluff	6
217	Crosswalk - Ladder	LOCUST ST	Bluff	6
218	Crosswalk - Ladder	LOCUST ST	Bluff	6
219	Crosswalk - Ladder	LOCUST ST	Bluff	6
220	Crosswalk - Ladder	LOCUST ST	Bluff	6
221	Crosswalk - Ladder	MARION ST	Bluff	6
222	Crosswalk - Ladder	MARION ST	Bluff	6
223	Crosswalk - Ladder	MARION ST	Bluff	6
224	Crosswalk - Two Lined	ELEVENTH ST	Central Business District	6
225	Crosswalk - Two Lined	N ST CLAIR ST	Highland Park	7
226	Crosswalk - Ladder	PRIDE ST	Bluff	6
227	Crosswalk - Continental	ROSS ST	Central Business District	6
228	Crosswalk - Continental	FIRST AVE	Central Business District	6
229	Crosswalk - Continental	FIRST AVE	Central Business District	6
230	Crosswalk - Continental	ROSS ST	Central Business District	6
231	Crosswalk - Continental	ROSS ST	Central Business District	6
232	Crosswalk - Continental	ROSS ST	Central Business District	6
233	Crosswalk - Continental	ROSS ST	Central Business District	6
234	Crosswalk - Ladder	ROSS ST	Central Business District	6
235	Crosswalk - Two Lined	ROSS ST	Central Business District	6
236	Crosswalk - Two Lined	STANTON AVE	East Liberty	9
237	Crosswalk - Two Lined	ROSS ST	Central Business District	6
238	Crosswalk - Two Lined	ROSS ST	Central Business District	6
239	Crosswalk - Two Lined	ROSS ST	Central Business District	6
240	Crosswalk - Two Lined	BIGELOW BLVD	Central Business District	6
241	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
242	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
243	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
244	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
245	Crosswalk - Continental	SIXTH AVE	Central Business District	6
246	Crosswalk - Continental	SIXTH AVE	Central Business District	6
247	Crosswalk - Two Lined	N ST CLAIR ST	East Liberty	9
248	Crosswalk - Continental	SIXTH AVE	Central Business District	6
249	Crosswalk - Continental	SIXTH AVE	Central Business District	6
250	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
251	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
252	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
253	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
254	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
255	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
256	Crosswalk - Brick and Markings	SMITHFIELD ST	Central Business District	6
257	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
258	Crosswalk - Two Lined	N HIGHLAND AVE	Highland Park	7
259	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
260	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
261	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
262	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
263	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
264	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
265	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
266	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
267	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
268	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
269	Crosswalk - Two Lined	STANTON AVE	East Liberty	9
270	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
271	Crosswalk - Two Lined	LIBERTY AVE	Central Business District	6
272	Crosswalk - Brick and Markings	LIBERTY AVE	Central Business District	6
273	Crosswalk - Brick and Markings	STANWIX ST	Central Business District	6
274	Crosswalk - Brick and Markings	STANWIX ST	Central Business District	6
275	Crosswalk - Two Lined	STANWIX ST	Central Business District	6
276	Crosswalk - Brick and Markings	STANWIX ST	Central Business District	6
277	Crosswalk - Brick and Markings	STANWIX ST	Central Business District	6
278	Crosswalk - Brick and Markings	STANWIX ST	Central Business District	6
279	Crosswalk - Continental	STANWIX ST	Central Business District	6
280	Crosswalk - Two Lined	N HIGHLAND AVE	East Liberty	9
281	Crosswalk - Continental	STANWIX ST	Central Business District	6
282	Crosswalk - Two Lined	STANWIX ST	Central Business District	6
283	Crosswalk - Continental	STANWIX ST	Central Business District	6
284	Crosswalk - Continental	STANWIX ST	Central Business District	6
285	Crosswalk - Continental	THIRD AVE	Central Business District	6
286	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
287	Crosswalk - Continental	BLVD OF THE ALLIES	Central Business District	6
288	Crosswalk - Continental	BLVD OF THE ALLIES	Central Business District	6
289	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
290	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
291	Crosswalk - Two Lined	STANTON AVE	East Liberty	9
292	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
293	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
294	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
295	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
296	Crosswalk - Ladder	BLVD OF THE ALLIES	Central Business District	6
297	Crosswalk - Ladder	COMMONWEALTH PL	Central Business District	6
298	Crosswalk - Ladder	BLVD OF THE ALLIES RAMP	Central Business District	6
299	Crosswalk - Two Lined	COMMONWEALTH PL	Central Business District	6
300	Crosswalk - Two Lined	COMMONWEALTH PL	Central Business District	6
301	Crosswalk - Two Lined	COMMONWEALTH PL	Central Business District	6
302	Crosswalk - Two Lined	COLLINS AVE	East Liberty	9
303	Crosswalk - Two Lined	FORT PITT BRG RAMP	Central Business District	6
304	Crosswalk - Two Lined	FORT PITT BRG RAMP	Central Business District	6
305	Crosswalk - Two Lined	LIBERTY AVE IN	Central Business District	6
306	Crosswalk - Two Lined	LIBERTY AVE OUT	Central Business District	6
307	Crosswalk - Two Lined	LIBERTY AVE OUT	Central Business District	6
308	Crosswalk - Brick and Markings	PENN AVE	Central Business District	6
309	Crosswalk - Brick and Markings	PENN AVE	Central Business District	6
310	Crosswalk - Two Lined	LIBERTY AVE IN	Central Business District	6
311	Crosswalk - Brick and Markings	LIBERTY AVE IN	Central Business District	6
312	Crosswalk - Brick and Markings	LIBERTY AVE IN	Central Business District	6
313	Crosswalk - Two Lined	SHERIDAN AVE	Highland Park	7
314	Crosswalk - Brick and Markings	LIBERTY AVE OUT	Central Business District	6
315	Crosswalk - Brick and Markings	LIBERTY AVE OUT	Central Business District	6
316	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
317	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
318	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
319	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
320	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
321	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
322	Crosswalk - Brick and Markings	FORT DUQUESNE BLVD	Central Business District	6
323	Crosswalk - Brick and Markings	9TH ST BRG	Central Business District	6
324	Crosswalk - Two Lined	SHERIDAN AVE	Highland Park	7
325	Crosswalk - Brick and Markings	NINTH ST	Central Business District	6
326	Crosswalk - Brick and Markings	7TH ST BRG	Central Business District	6
327	Crosswalk - Brick and Markings	7TH ST	Central Business District	6
328	Crosswalk - Brick and Markings	ROBERTO CLEMENTE BRG	Central Business District	6
329	Crosswalk - Brick and Markings	6TH ST	Central Business District	6
330	Crosswalk - Brick Only	6TH ST	Central Business District	6
331	Crosswalk - Brick Only	6TH ST	Central Business District	6
332	Crosswalk - Two Lined	6TH ST	Central Business District	6
333	Crosswalk - Brick Only	7TH ST	Central Business District	6
334	Crosswalk - Brick Only	7TH ST	Central Business District	6
335	Crosswalk - Ladder	SMALLMAN ST	Strip District	7
336	Crosswalk - Two Lined	FARRAGUT ST	Highland Park	7
337	Crosswalk - Two Lined	7TH ST	Central Business District	6
338	Crosswalk - Brick and Markings	PENN AVE	Central Business District	6
339	Crosswalk - Continental	PENN AVE	Central Business District	6
340	Crosswalk - Continental	PENN AVE	Central Business District	6
341	Crosswalk - Continental	FIFTH AVE	Central Business District	6
342	Crosswalk - Continental	CECIL WAY	Central Business District	6
343	Crosswalk - Brick Only	PENN AVE	Central Business District	6
344	Crosswalk - Brick Only	PENN AVE	Central Business District	6
345	Crosswalk - Brick Only	PENN AVE	Central Business District	6
346	Crosswalk - Brick Only	PENN AVE	Central Business District	6
347	Crosswalk - Two Lined	FARRAGUT ST	Highland Park	7
348	Crosswalk - Brick Only	PENN AVE	Central Business District	6
349	Crosswalk - Brick Only	PENN AVE	Central Business District	6
350	Crosswalk - Brick Only	PENN AVE	Central Business District	6
351	Crosswalk - Brick Only	PENN AVE	Central Business District	6
352	Crosswalk - Brick Only	PENN AVE	Central Business District	6
353	Crosswalk - Brick Only	PENN AVE	Central Business District	6
354	Crosswalk - Brick Only	PENN AVE	Central Business District	6
355	Crosswalk - Brick Only	PENN AVE	Central Business District	6
356	Crosswalk - Continental	SEVENTH AVE	Central Business District	6
357	Crosswalk - Continental	SEVENTH AVE	Central Business District	6
358	Crosswalk - Two Lined	HAMPTON ST	Highland Park	7
359	Crosswalk - Brick and Markings	SEVENTH AVE	Central Business District	6
360	Crosswalk - Two Lined	SEVENTH AVE	Central Business District	6
361	Crosswalk - Two Lined	SEVENTH AVE	Central Business District	6
362	Crosswalk - Two Lined	WILLIAM PENN PL	Central Business District	6
363	Crosswalk - Two Lined	WILLIAM PENN PL	Central Business District	6
364	Crosswalk - Continental	WILLIAM PENN PL	Central Business District	6
365	Crosswalk - Continental	WILLIAM PENN PL	Central Business District	6
366	Crosswalk - Two Lined	WILLIAM PENN PL	Central Business District	6
367	Crosswalk - Two Lined	WILLIAM PENN PL	Central Business District	6
368	Crosswalk - Two Lined	WILLIAM PENN PL	Central Business District	6
369	Crosswalk - Two Lined	SHERIDAN AVE	Highland Park	7
370	Crosswalk - Other	WILLIAM PENN PL	Central Business District	6
371	Crosswalk - Brick Only	SEVENTH AVE	Central Business District	6
372	Crosswalk - Brick Only	SEVENTH AVE	Central Business District	6
373	Crosswalk - Brick Only	GRANT ST	Central Business District	6
374	Crosswalk - Brick Only	GRANT ST	Central Business District	6
375	Crosswalk - Brick and Markings	CHERRY WAY	Central Business District	6
376	Crosswalk - Brick and Markings	FIFTH AVE	Central Business District	6
377	Crosswalk - Brick and Markings	FIFTH AVE	Central Business District	6
378	Crosswalk - Two Lined	OLIVER AVE	Central Business District	6
379	Crosswalk - Two Lined	OLIVER AVE	Central Business District	6
380	Crosswalk - Two Lined	SHERIDAN AVE	Highland Park	7
381	Crosswalk - Continental	OLIVER AVE	Central Business District	6
382	Crosswalk - Continental	OLIVER AVE	Central Business District	6
383	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
384	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
385	Crosswalk - Brick and Markings	FIFTH AVE	Central Business District	6
386	Crosswalk - Brick and Markings	FIFTH AVE	Central Business District	6
387	Crosswalk - Two Lined	FIFTH AVE	Central Business District	6
388	Crosswalk - Two Lined	FIFTH AVE	Central Business District	6
389	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
390	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
391	Crosswalk - Two Lined	FARRAGUT ST	Highland Park	7
392	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
393	Crosswalk - Two Lined	DIAMOND ST	Central Business District	6
394	Crosswalk - Two Lined	DIAMOND ST	Central Business District	6
395	Crosswalk - Two Lined	SIXTH AVE	Central Business District	6
396	Crosswalk - Two Lined	CROSSTOWN BLVD RAMP	Central Business District	6
397	Crosswalk - Two Lined	FORBES AVE	Central Business District	6
398	Crosswalk - Two Lined	CROSSTOWN BLVD RAMP	Bluff	6
399	Crosswalk - Two Lined	SHINGISS ST	Bluff	6
400	Crosswalk - Continental	FOURTH AVE	Central Business District	6
401	Crosswalk - Continental	FOURTH AVE	Central Business District	6
402	Crosswalk - Two Lined	FARRAGUT ST	Highland Park	7
403	Crosswalk - Continental	ROSS ST	Central Business District	6
404	Crosswalk - Continental	ROSS ST	Central Business District	6
405	Crosswalk - Continental	THIRD AVE	Central Business District	6
406	Crosswalk - Continental	COURT PL	Central Business District	6
407	Crosswalk - Continental	THIRD AVE	Central Business District	6
408	Crosswalk - Continental	SECOND AVE	Central Business District	6
409	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
410	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
411	Crosswalk - Continental	THIRD AVE	Central Business District	6
412	Crosswalk - Continental	THIRD AVE	Central Business District	6
413	Crosswalk - Two Lined	N ST CLAIR ST	Highland Park	7
414	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
415	Crosswalk - Continental	SMITHFIELD ST	Central Business District	6
416	Crosswalk - Continental	FOURTH AVE	Central Business District	6
417	Crosswalk - Continental	FOURTH AVE	Central Business District	6
418	Crosswalk - Two Lined	SMITHFIELD ST	Central Business District	6
419	Crosswalk - Two Lined	SMITHFIELD ST	Central Business District	6
420	Crosswalk - Two Lined	SMITHFIELD ST	Central Business District	6
421	Crosswalk - Two Lined	SMITHFIELD ST	Central Business District	6
422	Crosswalk - Two Lined	SMITHFIELD ST	Central Business District	6
423	Crosswalk - Two Lined	FORT PITT BLVD	Central Business District	6
424	Crosswalk - Two Lined	HAMPTON ST	Highland Park	7
425	Crosswalk - Two Lined	FORT PITT BLVD	Central Business District	6
426	Crosswalk - Two Lined	WOOD ST	Central Business District	6
427	Crosswalk - Two Lined	MARKET ST	Central Business District	6
428	Crosswalk - Two Lined	MARKET ST	Central Business District	6
429	Crosswalk - Two Lined	MARKET ST	Central Business District	6
430	Crosswalk - Ladder	WOOD ST	Central Business District	6
431	Crosswalk - Ladder	WOOD ST	Central Business District	6
432	Crosswalk - Ladder	WOOD ST	Central Business District	6
433	Crosswalk - Ladder	WOOD ST	Central Business District	6
